v,reconstruction_rate
0.2,0.45000000000000023
0.21,0.4300000000000002
0.22,0.4100000000000002
0.23,0.3900000000000002
0.24,0.37000000000000016
0.25,0.36000000000000015
0.26,0.34000000000000014
0.27,0.3200000000000001
0.28,0.3100000000000001
0.29,0.2900000000000001
0.3,0.2800000000000001
0.31,0.2700000000000001
0.32,0.26000000000000006
0.33,0.24000000000000007
0.34,0.23000000000000007
0.35,0.22000000000000006
0.36,0.21000000000000005
0.37,0.20000000000000004
0.38,0.19000000000000003
0.39,0.18000000000000002
0.4,0.17
0.41,0.17
0.42,0.16
0.43,0.15
0.44,0.13999999999999999
0.45,0.13999999999999999
0.46,0.12999999999999998
0.47,0.11999999999999998
0.48,0.11999999999999998
0.49,0.10999999999999999
0.5,0.10999999999999999
0.51,0.09999999999999999
0.52,0.09999999999999999
0.53,0.09
0.54,0.09
0.55,0.08
0.56,0.08
0.57,0.07
0.58,0.07
0.59,0.07
0.6,0.060000000000000005
0.61,0.060000000000000005
0.62,0.060000000000000005
0.63,0.05
0.64,0.05
0.65,0.05
0.66,0.05
0.67,0.04
0.68,0.04
0.69,0.04
0.7,0.04
0.71,0.04
0.72,0.03
0.73,0.03
0.74,0.03
0.75,0.03
0.76,0.03
0.77,0.03
0.78,0.02
0.79,0.02
0.8,0.02
0.81,0.02
0.82,0.02
0.83,0.02
0.84,0.02
0.85,0.02
0.86,0.02
0.87,0.01
0.88,0.01
0.89,0.01
0.9,0.01
