disaster_type,spatial_unit,residential,non_residential,total_exposed_stock,rp,pml,loss_fraction
earthquake,region_0,687270.06,487678.58,1174948.64,10,219949.67,0.187
earthquake,region_1,799329.24,289004.66,1088333.9,10,163250.09,0.15
earthquake,region_2,529041.81,466544.04,995585.84,10,173342.95,0.174
earthquake,region_3,854036.29,255146.12,1109182.41,10,234027.49,0.211
earthquake,region_4,916221.32,303084.78,1219306.1,10,182895.91,0.15
earthquake,region_5,591702.25,326060.56,917762.82,10,152785.16,0.166
earthquake,region_6,715972.51,322807.29,1038779.79,10,181978.94,0.175
earthquake,region_7,569746.93,323036.16,892783.09,10,134485.44,0.151
earthquake,region_8,728034.99,446293.99,1174328.98,10,176149.35,0.15
earthquake,region_9,757117.22,398103.64,1155220.86,10,173283.13,0.15
earthquake,region_10,803772.43,292631.03,1096403.46,10,164460.52,0.15
earthquake,region_11,974442.77,491408.01,1465850.78,10,285605.98,0.195
earthquake,region_12,652306.88,274418.03,926724.91,10,169056.22,0.182
earthquake,region_13,720076.25,280509.56,1000585.81,10,163613.48,0.164
earthquake,region_14,517194.26,477330.1,994524.36,10,149178.65,0.15
earthquake,region_15,831261.14,327927.77,1159188.91,10,192433.24,0.166
earthquake,region_16,773355.14,296213.61,1069568.75,10,225634.58,0.211
earthquake,region_17,887566.41,484874.74,1372441.15,10,279268.08,0.203
earthquake,region_18,798949.99,480468.56,1279418.55,10,191912.78,0.15
earthquake,region_19,597991.43,261306.82,859298.25,10,128894.74,0.15
earthquake,region_20,694338.64,317837.26,1012175.9,10,199270.87,0.197
earthquake,region_21,678376.66,320233.63,998610.29,10,168035.76,0.168
earthquake,region_22,570462.11,450549.25,1021011.36,10,153151.7,0.15
earthquake,region_23,993443.47,443061.19,1436504.66,10,215475.7,0.15
earthquake,region_24,502761.06,453865.36,956626.42,10,176675.25,0.185
earthquake,region_25,864503.58,442817.59,1307321.17,10,196098.18,0.15
earthquake,region_26,679232.86,278967.26,958200.13,10,191937.4,0.2
earthquake,region_27,811649.06,332724.51,1144373.57,10,171656.04,0.15
earthquake,region_28,655491.16,331295.83,986786.99,10,184490.31,0.187
earthquake,region_29,818778.74,471803.19,1290581.92,10,208069.54,0.161
earthquake,region_30,559797.12,428311.2,988108.32,10,187818.15,0.19
earthquake,region_31,780638.6,442741.79,1223380.39,10,199875.35,0.163
earthquake,region_32,761366.41,356885.25,1118251.67,10,167737.75,0.15
earthquake,region_33,553945.71,257857.3,811803.01,10,144209.53,0.178
earthquake,region_34,657177.99,377142.67,1034320.66,10,211784.03,0.205
earthquake,region_35,624646.11,352595.73,977241.85,10,185241.19,0.19
earthquake,region_36,614399.08,269244.98,883644.06,10,132546.61,0.15
earthquake,region_37,580610.64,482424.41,1063035.06,10,207092.03,0.195
earthquake,region_38,816701.88,467865.15,1284567.03,10,249677.71,0.194
earthquake,region_39,593285.03,473139.75,1066424.78,10,179089.22,0.168
earthquake,region_40,903720.08,474022.82,1377742.9,10,206661.44,0.15
earthquake,region_41,555025.96,306983.79,862009.75,10,135086.22,0.157
earthquake,region_42,909007.38,465182.65,1374190.03,10,206128.5,0.15
earthquake,region_43,755373.65,354352.75,1109726.4,10,166458.96,0.15
earthquake,region_44,559932.68,334403.79,894336.48,10,186282.21,0.208
earthquake,region_45,661601.47,379697.66,1041299.12,10,191913.4,0.184
earthquake,region_46,681814.8,492945.52,1174760.32,10,246987.17,0.21
earthquake,region_47,625891.15,374312.13,1000203.27,10,150030.49,0.15
earthquake,region_48,642420.25,259221.74,901641.98,10,157748.07,0.175
earthquake,region_49,751339.51,262869.69,1014209.2,10,152131.38,0.15
earthquake,region_50,954132.94,309890.47,1264023.42,10,189603.51,0.15
earthquake,region_51,744726.38,496412.61,1241138.99,10,186170.85,0.15
earthquake,region_52,836067.77,440404.9,1276472.68,10,191470.9,0.15
earthquake,region_53,864108.17,341945.78,1206053.96,10,213749.65,0.177
earthquake,region_54,816764.86,383943.67,1200708.53,10,180106.28,0.15
earthquake,region_55,917651.25,330195.02,1247846.26,10,187176.94,0.15
earthquake,region_56,520387.57,397723.24,918110.81,10,166872.55,0.182
earthquake,region_57,508293.91,378023.26,886317.18,10,132947.58,0.15
earthquake,region_58,822586.4,293591.61,1116178.0,10,204365.24,0.183
earthquake,region_59,693367.67,484182.5,1177550.17,10,176632.53,0.15
earthquake,region_60,670533.18,278368.38,948901.56,10,195919.1,0.206
earthquake,region_61,938669.68,314485.41,1253155.08,10,225565.92,0.18
earthquake,region_62,908611.1,388800.2,1297411.3,10,216622.35,0.167
earthquake,region_63,620926.15,273275.69,894201.84,10,182168.21,0.204
earthquake,region_0,950209.03,408275.36,1358484.39,50,276999.01,0.204
earthquake,region_1,674604.79,431488.92,1106093.71,50,287264.73,0.26
earthquake,region_2,943543.21,444968.89,1388512.1,50,325193.93,0.234
earthquake,region_3,542069.98,290407.18,832477.16,50,216323.7,0.26
earthquake,region_4,803214.53,252299.26,1055513.79,50,190147.81,0.18
earthquake,region_5,831750.88,251265.4,1083016.28,50,201528.54,0.186
earthquake,region_6,774366.89,422973.8,1197340.69,50,281609.89,0.235
