disaster_type,spatial_unit,residential,non_residential,total_exposed_stock,rp,pml,loss_fraction
hurricane,region_0,687270.06,487678.58,1174948.64,10,158852.34,0.135
hurricane,region_1,799329.24,289004.66,1088333.9,10,108833.39,0.1
hurricane,region_2,529041.81,466544.04,995585.84,10,121572.48,0.122
hurricane,region_3,854036.29,255146.12,1109182.41,10,176350.0,0.159
hurricane,region_4,916221.32,303084.78,1219306.1,10,121930.61,0.1
hurricane,region_5,591702.25,326060.56,917762.82,10,105061.49,0.114
hurricane,region_6,715972.51,322807.29,1038779.79,10,127962.39,0.123
hurricane,region_7,569746.93,323036.16,892783.09,10,89278.31,0.1
hurricane,region_8,728034.99,446293.99,1174328.98,10,117432.9,0.1
hurricane,region_9,757117.22,398103.64,1155220.86,10,115522.09,0.1
hurricane,region_10,803772.43,292631.03,1096403.46,10,109640.35,0.1
hurricane,region_11,974442.77,491408.01,1465850.78,10,209381.74,0.143
hurricane,region_12,652306.88,274418.03,926724.91,10,120866.52,0.13
hurricane,region_13,720076.25,280509.56,1000585.81,10,111583.02,0.112
hurricane,region_14,517194.26,477330.1,994524.36,10,99452.44,0.1
hurricane,region_15,831261.14,327927.77,1159188.91,10,132155.42,0.114
hurricane,region_16,773355.14,296213.61,1069568.75,10,170017.0,0.159
hurricane,region_17,887566.41,484874.74,1372441.15,10,207901.14,0.151
hurricane,region_18,798949.99,480468.56,1279418.55,10,127941.85,0.1
hurricane,region_19,597991.43,261306.82,859298.25,10,85929.83,0.1
hurricane,region_20,694338.64,317837.26,1012175.9,10,146637.72,0.145
hurricane,region_21,678376.66,320233.63,998610.29,10,116108.03,0.116
hurricane,region_22,570462.11,450549.25,1021011.36,10,102101.14,0.1
hurricane,region_23,993443.47,443061.19,1436504.66,10,143650.47,0.1
hurricane,region_24,502761.06,453865.36,956626.42,10,126930.68,0.133
hurricane,region_25,864503.58,442817.59,1307321.17,10,130732.12,0.1
hurricane,region_26,679232.86,278967.26,958200.13,10,142110.99,0.148
hurricane,region_27,811649.06,332724.51,1144373.57,10,114437.36,0.1
hurricane,region_28,655491.16,331295.83,986786.99,10,133177.38,0.135
hurricane,region_29,818778.74,471803.19,1290581.92,10,140959.28,0.109
hurricane,region_30,559797.12,428311.2,988108.32,10,136436.52,0.138
hurricane,region_31,780638.6,442741.79,1223380.39,10,136259.57,0.111
hurricane,region_32,761366.41,356885.25,1118251.67,10,111825.17,0.1
hurricane,region_33,553945.71,257857.3,811803.01,10,101995.78,0.126
hurricane,region_34,657177.99,377142.67,1034320.66,10,157999.36,0.153
hurricane,region_35,624646.11,352595.73,977241.85,10,134424.61,0.138
hurricane,region_36,614399.08,269244.98,883644.06,10,88364.41,0.1
hurricane,region_37,580610.64,482424.41,1063035.06,10,151814.2,0.143
hurricane,region_38,816701.88,467865.15,1284567.03,10,182880.22,0.142
hurricane,region_39,593285.03,473139.75,1066424.78,10,123635.13,0.116
hurricane,region_40,903720.08,474022.82,1377742.9,10,137774.29,0.1
hurricane,region_41,555025.96,306983.79,862009.75,10,90261.71,0.105
hurricane,region_42,909007.38,465182.65,1374190.03,10,137419.0,0.1
hurricane,region_43,755373.65,354352.75,1109726.4,10,110972.64,0.1
hurricane,region_44,559932.68,334403.79,894336.48,10,139776.72,0.156
hurricane,region_45,661601.47,379697.66,1041299.12,10,137765.85,0.132
hurricane,region_46,681814.8,492945.52,1174760.32,10,185899.63,0.158
hurricane,region_47,625891.15,374312.13,1000203.27,10,100020.33,0.1
hurricane,region_48,642420.25,259221.74,901641.98,10,110862.68,0.123
hurricane,region_49,751339.51,262869.69,1014209.2,10,101420.92,0.1
hurricane,region_50,954132.94,309890.47,1264023.42,10,126402.34,0.1
hurricane,region_51,744726.38,496412.61,1241138.99,10,124113.9,0.1
hurricane,region_52,836067.77,440404.9,1276472.68,10,127647.27,0.1
hurricane,region_53,864108.17,341945.78,1206053.96,10,151034.84,0.125
hurricane,region_54,816764.86,383943.67,1200708.53,10,120070.85,0.1
hurricane,region_55,917651.25,330195.02,1247846.26,10,124784.63,0.1
hurricane,region_56,520387.57,397723.24,918110.81,10,119130.79,0.13
hurricane,region_57,508293.91,378023.26,886317.18,10,88631.72,0.1
hurricane,region_58,822586.4,293591.61,1116178.0,10,146323.99,0.131
hurricane,region_59,693367.67,484182.5,1177550.17,10,117755.02,0.1
hurricane,region_60,670533.18,278368.38,948901.56,10,146576.22,0.154
hurricane,region_61,938669.68,314485.41,1253155.08,10,160401.85,0.128
hurricane,region_62,908611.1,388800.2,1297411.3,10,149156.97,0.115
hurricane,region_63,620926.15,273275.69,894201.84,10,135669.71,0.152
hurricane,region_0,950209.03,408275.36,1358484.39,50,195489.95,0.144
hurricane,region_1,674604.79,431488.92,1106093.71,50,220899.11,0.2
hurricane,region_2,943543.21,444968.89,1388512.1,50,241883.2,0.174
hurricane,region_3,542069.98,290407.18,832477.16,50,166375.07,0.2
hurricane,region_4,803214.53,252299.26,1055513.79,50,126816.98,0.12
hurricane,region_5,831750.88,251265.4,1083016.28,50,136547.56,0.126
hurricane,region_6,774366.89,422973.8,1197340.69,50,209769.45,0.175
hurricane,region_7,612134.65,428044.81,1040179.46,50,139097.9,0.134
hurricane,region_8,662699.85,436622.85,1099322.7,50,192341.12,0.175
hurricane,region_9,924611.71,414403.22,1339014.93,50,223389.01,0.167
hurricane,region_10,546837.38,341928.95,888766.33,50,121334.59,0.137
hurricane,region_11,621994.82,493252.64,1115247.46,50,166517.34,0.149
hurricane,region_12,946023.28,407784.66,1353807.93,50,256521.06,0.189
hurricane,region_13,751318.55,394225.97,1145544.52,50,182429.99,0.159
hurricane,region_14,597621.49,430613.03,1028234.52,50,141975.78,0.138
hurricane,region_15,512157.98,411368.07,923526.06,50,117944.5,0.128
hurricane,region_16,970229.29,488482.14,1458711.44,50,293910.57,0.201
hurricane,region_17,685079.35,253864.15,938943.5,50,190447.65,0.203
hurricane,region_18,714092.07,491663.7,1205755.78,50,248822.17,0.206
hurricane,region_19,926504.73,323612.22,1250116.95,50,185654.58,0.149
hurricane,region_20,925568.34,329230.5,1254798.84,50,159295.8,0.127
hurricane,region_21,778400.63,484038.69,1262439.32,50,226737.86,0.18
hurricane,region_22,785030.59,274294.12,1059324.71,50,181674.95,0.172
hurricane,region_23,995026.93,285021.0,1280047.93,50,207153.95,0.162
hurricane,region_24,938686.54,435192.15,1373878.69,50,246888.16,0.18
hurricane,region_25,851242.04,339872.79,1191114.83,50,165992.79,0.139
hurricane,region_26,904680.58,452528.35,1357208.93,50,266972.81,0.197
hurricane,region_27,956620.28,377835.6,1334455.88,50,213715.28,0.16
hurricane,region_28,899147.59,412490.98,1311638.57,50,236352.93,0.18
hurricane,region_29,897896.33,472501.34,1370397.67,50,197062.52,0.144
hurricane,region_30,687791.48,273495.48,961286.96,50,161330.88,0.168
hurricane,region_31,517971.14,366399.5,884370.64,50,145270.67,0.164
hurricane,region_32,643270.63,397708.32,1040978.94,50,117682.7,0.113
hurricane,region_33,518674.09,455650.14,974324.23,50,142269.91,0.146
hurricane,region_34,563530.26,380560.82,944091.07,50,176544.42,0.187
hurricane,region_35,607910.51,405722.62,1013633.13,50,120150.75,0.119
hurricane,region_36,525840.86,382838.66,908679.52,50,149081.15,0.164
hurricane,region_37,818714.95,431522.83,1250237.78,50,259530.87,0.208
hurricane,region_38,758150.17,330739.12,1088889.29,50,206364.8,0.19
hurricane,region_39,635416.13,359742.86,995158.98,50,117275.15,0.118
hurricane,region_40,512675.37,490662.1,1003337.48,50,194244.14,0.194
hurricane,region_41,847987.1,352238.24,1200225.34,50,152824.01,0.127
hurricane,region_42,578218.52,312560.72,890779.25,50,146909.69,0.165
hurricane,region_43,857297.96,415049.34,1272347.31,50,175575.52,0.138
hurricane,region_44,977432.64,434474.23,1411906.87,50,233579.39,0.165
hurricane,region_45,805860.37,354900.02,1160760.39,50,156439.27,0.135
hurricane,region_46,677986.34,439461.53,1117447.87,50,124527.66,0.111
hurricane,region_47,558036.32,261500.66,819536.98,50,93486.94,0.114
hurricane,region_48,927730.29,425914.46,1353644.76,50,213087.22,0.157
hurricane,region_49,548917.08,372903.97,921821.05,50,145045.94,0.157
hurricane,region_50,586600.93,358462.91,945063.85,50,141618.26,0.15
hurricane,region_51,807925.05,408773.41,1216698.46,50,139348.96,0.115
hurricane,region_52,687306.31,406464.98,1093771.29,50,175346.44,0.16
hurricane,region_53,928244.92,414673.41,1342918.33,50,169601.78,0.126
hurricane,region_54,535284.37,410604.82,945889.19,50,106555.49,0.113
hurricane,region_55,792887.79,485057.56,1277945.35,50,214116.44,0.168
hurricane,region_56,694084.96,410822.05,1104907.02,50,172172.46,0.156
hurricane,region_57,772808.39,485366.2,1258174.6,50,186977.66,0.149
hurricane,region_58,980595.28,476337.66,1456932.94,50,188788.08,0.13
hurricane,region_59,534680.65,275194.5,809875.15,50,90562.01,0.112
hurricane,region_60,547221.48,420751.69,967973.17,50,113367.92,0.117
hurricane,region_61,659487.82,461218.83,1120706.64,50,125885.83,0.112
hurricane,region_62,907234.24,320463.69,1227697.93,50,149553.84,0.122
hurricane,region_63,848368.58,407235.71,1255604.29,50,248292.24,0.198
hurricane,region_0,867535.52,450870.23,1318405.75,100,261312.58,0.198
hurricane,region_1,588719.77,437653.69,1026373.46,100,257294.86,0.251
hurricane,region_2,995252.57,353154.42,1348406.99,100,279392.37,0.207
hurricane,region_3,888206.48,335200.89,1223407.37,100,321848.79,0.263
hurricane,region_4,929206.38,357248.51,1286454.88,100,315293.51,0.245
hurricane,region_5,877271.44,275780.97,1153052.4,100,300087.99,0.26
hurricane,region_6,752626.19,456614.37,1209240.55,100,244272.59,0.202
hurricane,region_7,947761.61,347300.42,1295062.03,100,221564.09,0.171
hurricane,region_8,952690.99,272821.67,1225512.66,100,247469.44,0.202
hurricane,region_9,975030.98,487651.79,1462682.77,100,332531.84,0.227
hurricane,region_10,815918.61,362111.38,1178029.99,100,234806.21,0.199
hurricane,region_11,664332.27,418129.61,1082461.89,100,265460.2,0.245
hurricane,region_12,895789.52,447404.54,1343194.06,100,240593.74,0.179
hurricane,region_13,747210.15,264389.69,1011599.84,100,227562.31,0.225
hurricane,region_14,720765.25,471926.05,1192691.3,100,244610.85,0.205
hurricane,region_15,558533.51,285747.92,844281.43,100,207820.77,0.246
hurricane,region_16,809109.03,275280.67,1084389.7,100,193466.7,0.178
hurricane,region_17,850484.57,268190.75,1118675.32,100,282114.26,0.252
hurricane,region_18,853121.11,270337.2,1123458.31,100,200519.08,0.178
hurricane,region_19,993319.79,343567.7,1336887.49,100,276821.56,0.207
hurricane,region_20,906399.78,486812.14,1393211.93,100,374216.87,0.269
hurricane,region_21,876689.09,344064.9,1220753.99,100,217721.56,0.178
hurricane,region_22,888573.46,389601.06,1278174.52,100,271512.64,0.212
hurricane,region_23,953177.19,277799.37,1230976.56,100,269907.01,0.219
hurricane,region_24,505676.82,367165.16,872841.98,100,153297.52,0.176
hurricane,region_25,559408.96,279381.56,838790.52,100,197049.53,0.235
hurricane,region_26,873022.44,395842.19,1268864.63,100,337793.66,0.266
hurricane,region_27,687435.29,321428.02,1008863.31,100,259136.54,0.257
hurricane,region_28,611797.92,490805.63,1102603.55,100,188782.76,0.171
hurricane,region_29,984939.41,260789.98,1245729.39,100,322786.31,0.259
hurricane,region_30,763850.55,498241.2,1262091.75,100,223869.4,0.177
hurricane,region_31,776927.14,492325.63,1269252.78,100,282167.31,0.222
hurricane,region_32,814699.32,423937.17,1238636.49,100,266869.32,0.215
hurricane,region_33,813779.04,396078.58,1209857.62,100,314703.08,0.26
hurricane,region_34,522723.19,320240.8,842963.99,100,223420.14,0.265
hurricane,region_35,945131.89,363914.19,1309046.08,100,303716.05,0.232
hurricane,region_36,638690.59,297030.29,935720.88,100,202461.78,0.216
hurricane,region_37,676676.11,395914.03,1072590.14,100,190678.06,0.178
hurricane,region_38,987197.4,496552.69,1483750.09,100,355827.27,0.24
hurricane,region_39,768048.18,327381.9,1095430.09,100,275368.67,0.251
hurricane,region_40,842365.59,290654.23,1133019.82,100,295823.23,0.261
hurricane,region_41,911268.62,487449.98,1398718.6,100,339289.9,0.243
hurricane,region_42,806707.6,354560.76,1161268.36,100,305730.43,0.263
hurricane,region_43,933031.94,261304.67,1194336.61,100,206186.33,0.173
